PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,VEHICLE_ID,SEX,AGE,AIRBAG_DEPLOYED,EJECTION,INJURY_CLASSIFICATION,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,PEDPEDAL_ACTION,PEDPEDAL_VISIBILITY,PEDPEDAL_LOCATION,BAC_RESULT,BAC_RESULT VALUE,CELL_PHONE_USE,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,DOORING_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,geometry,YEAR,SEASON,SEX_R,SEASON_R,PERSON_TYPE_R,AIRBAG_DEPLOYED_R,INJURY_CLASSIFICATION_R,EJECTION_R
O1463282,DRIVER,e9364a2813042939f221fbceec298ce1cb2622da66a407cba75eea54df14fe590d9570a1a19ce06f61204ac14069a8712e5a254d31fdf4dda96caf6a10f6691e,1390789.0,F,22.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,,,2022-11-16 14:40:00,30,CLOUDY/OVERCAST,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",11/16/2022 02:42:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14,4,11,41.922672993,-87.702094091,POINT (-87.702094090641 41.922672992511),POINT (1156036.8223895642 1915044.1760696368),2022,Fall,0.0,4,1,2.0,0.0,0.0
O1389276,DRIVER,8deb67f058bab8f2843b1baa7148a667138c967832ddc86085150572dac65a4ef4b76eccc2aaf828cb80c43bfd7bbf9fcdf7c5129a3077b49d33fafaca0df399,1320051.0,F,18.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,,Y,2022-07-30 16:45:00,30,UNKNOWN,UNKNOWN,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,07/30/2022 07:05:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,7,7,41.74609801,-87.69999573,POINT (-87.699995730139 41.74609801015),POINT (1157082.2781310193 1850705.2092047273),2022,Summer,0.0,3,1,3.0,0.0,0.0
O1313072,DRIVER,f69ca644aad6d30a623a1375491418f9539f91e3ed7bb9cbc5dad1080b95f5020661a0b9ed8f6b82d630a3e2076637c15651a58f639aa3141289eeead72773bb,1247110.0,M,22.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-04-07 10:55:00,30,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",04/07/2022 11:15:00 AM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,5,4,41.847777523,-87.734505969,POINT (-87.734505968748 41.847777522805),POINT (1147406.5924392848 1887689.0998694855),2022,Spring,1.0,2,1,2.0,0.0,0.0
O1374075,DRIVER,dbf6f286c199873e8cbe3261b77ad6e2cda1ac243ea2e6f35ba1b3a53eea7d19e1f7d03e137344db3ccd0e359dc9b0012becaa57703a78ebc499c09afa989256,1305661.0,M,25.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,UNKNOWN,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-07-07 17:30:00,30,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",07/07/2022 06:00:00 PM,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17,5,7,41.97487353,-87.689262043,POINT (-87.689262043252 41.974873529995),POINT (1159386.035618872 1934092.17899778),2022,Summer,1.0,3,1,3.0,0.0,0.0
O1424875,DRIVER,0a23e78d0396333e6c15cad42a48cca6eb096abf2637694a05419ba72e29f28a1fe6935fdbb31298b2fb46c82cbbf49133d84c3a2d8a5457952aac9fc0e64d5f,1354108.0,M,55.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-09-21 18:11:00,30,CLEAR,DUSK,REAR END,DRIVEWAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,09/21/2022 06:27:00 PM,IMPROPER BACKING,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,4,9,41.786485236,-87.676665443,POINT (-87.676665442955 41.786485235679),POINT (1163336.5861033595 1865469.7019309977),2022,Fall,1.0,4,1,2.0,0.0,0.0
O1290233,DRIVER,e0b7bcf252240ad2c9ce6cca2b3f5116d270cbe21949c968e0e12760605a9da9f0e23e5a51f809308999af668ee17a60b791e8d672c72643d2849410d0672465,1225183.0,M,62.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-02-28 19:00:00,35,CLEAR,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",02/28/2022 07:20:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,2,2,41.712012133,-87.681935408,POINT (-87.68193540843 41.712012133229),POINT (1162104.8000704206 1838321.4729384207),2022,Winter,1.0,1,1,2.0,0.0,0.0
O1352961,DRIVER,d1bab6adb8f592afcaa1af06a1fe2cc6f494f7ace522131f4b4527ebd6df5dc245d3b3458273f90ce73d58cf3a4fa0d6c5a7c54fba0be5de45085a7a30057b04,1285504.0,M,29.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-06-07 00:37:00,30,RAIN,DARKNESS,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",06/07/2022 12:41:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,2,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,2.0,0.0,0,3,6,41.874532943,-87.710954038,POINT (-87.710954038087 41.874532943005),POINT (1153752.9060100866 1897484.3305007033),2022,Summer,1.0,3,1,2.0,0.0,0.0
O1457032,DRIVER,ab5f4f747b2b4efecd2634ee3f69a713b6025d16a3e92281253346ffb9986bb5fca59732b184d3fefd822716843988f3dbd8dbb318a18799617caded715fbf77,1384721.0,M,52.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,,,2022-11-07 07:00:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT ON GRADE,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",11/07/2022 07:27:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7,2,11,41.892511145,-87.624330958,POINT (-87.624330957796 41.89251114494),POINT (1177290.4105151566 1904218.548127944),2022,Fall,1.0,4,1,3.0,0.0,0.0
O1462713,DRIVER,3dea81b8f5951fba98f69c689c195d6e8a2da92bc9a372106e3373dd611413124d3fbe552204adacd2256a8d3177cc07f818c2cf1d97c923e10463970323a607,1390232.0,F,24.0,"DEPLOYED, FRONT",NONE,NO INDICATION OF INJURY,OTHER,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,,,2022-11-15 18:55:00,30,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",11/15/2022 07:12:00 PM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18,3,11,41.867310033,-87.64359022,POINT (-87.643590220245 41.867310032947),POINT (1172120.457864646 1894992.5437146728),2022,Fall,0.0,4,1,5.0,0.0,0.0
O1483860,DRIVER,760e740da8544e28b4a1a91abcb4c7f95a65ac9eae96ac13b6049db73f186eeab21c3c680fa3d034c3a5635f6b9320e15b41af4dd7a7e71be3bdc72241af1a5d,1410493.0,F,49.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,UNKNOWN,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-12-18 02:45:00,40,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,"CURVE, LEVEL",DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",12/18/2022 02:50:00 AM,IMPROPER LANE USAGE,FAILING TO YIELD RIGHT-OF-WAY,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1,12,41.88326589,-87.616269526,POINT (-87.616269526281 41.883265889838),POINT (1179513.4655514457 1900867.8188982958),2022,Winter,0.0,1,1,2.0,0.0,0.0
O1430422,DRIVER,3e35947b5383d957bd6872e4401d171baf7083778a3b2508fe81b0620e0781879deafb1af2f9ffaeace2ea0014ea19da25fd36cbd5c7c372f39957208bf5bc0b,1359391.0,M,45.0,"DEPLOYED, SIDE",NONE,NONINCAPACITATING INJURY,DISREGARDED CONTROL DEVICES,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,,,2022-09-30 03:29:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",09/30/2022 03:30:00 AM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,,2,NONINCAPACITATING INJURY,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3,6,9,41.938779353,-87.747019835,POINT (-87.747019834651 41.938779353481),POINT (1143770.4488006872 1920826.5612027203),2022,Fall,1.0,4,1,6.0,1.0,0.0
O1345428,DRIVER,e4d4267a3278ae769678f95ea508d80235f85923e5322a22e9afc55bd2b269e16094ffc146dc354c05a6930d9cd3b417314833ec43605bf71ebf61e207e7fef1,1278279.0,M,20.0,"DEPLOYED, COMBINATION",NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-05-26 16:50:00,35,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",05/26/2022 05:03:00 PM,NOT APPLICABLE,NOT APPLICABLE,,3,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,3.0,0.0,16,5,5,41.925158992,-87.676059008,POINT (-87.676059007856 41.925158991589),POINT (1163115.1560568106 1916003.309838912),2022,Spring,1.0,2,1,1.0,0.0,0.0
O1433466,DRIVER,2bfa6b3e2fc03af79d6c7fcdef4021983e5bc20846dda095bbee132f6d13320cce11cb94b725099f84efeb9ac5e5762f59fbfb299c4f90a7de0ef29356cc7394,1362276.0,M,47.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-10-03 16:15:00,30,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,"OVER $1,500",10/03/2022 05:15:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16,2,10,41.702649053,-87.542416598,POINT (-87.542416597903 41.702649053001),POINT (1200229.9912190598 1835228.718064001),2022,Fall,1.0,4,1,2.0,0.0,0.0
O1445584,DRIVER,c802cf146e5d4631357648e52a8e4e1a08cc719c5466608ddde564b851b107b31d2481b495c87b64cb88ad2821bbc4f5415adca3d453f0bcdd0faf47a637b5d8,1373903.0,M,23.0,"DEPLOYED, COMBINATION",NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-10-22 00:57:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",10/22/2022 01:58:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,7,10,41.867063344,-87.659325673,POINT (-87.659325673375 41.867063343817),POINT (1167835.1591108288 1894868.6061521946),2022,Fall,1.0,4,1,1.0,0.0,0.0
O1413798,DRIVER,0fc4e867bb19d258a6c7c63b93c7ad11d616b4862ed7327eac6c1cf5044643adc70e97fe09257685d2d0daca39a694775a2ab5b9793c69d752202a4fa7906c7e,1343518.0,F,26.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,Y,2022-09-06 08:00:00,30,CLOUDY/OVERCAST,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",09/06/2022 08:22:00 AM,IMPROPER OVERTAKING/PASSING,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8,3,9,41.910812375,-87.64808928,POINT (-87.648089279904 41.910812374689),POINT (1170768.4161771436 1910834.9668954352),2022,Fall,0.0,4,1,2.0,0.0,0.0
P313000,PASSENGER,1a1b25fc133964eec801325fdffe425399a4b14ff77c6087820c5abeec72dc34208c0d9cbe59acaf050fccf338a43bf0f17719f6d28c448d0d444171b4980793,1338645.0,M,19.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,,,,,,,,2022-08-29 14:25:00,30,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT ON GRADE,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",08/29/2022 02:30:00 PM,WEATHER,NOT APPLICABLE,,6,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,9.0,0.0,14,2,8,41.848920894,-87.646621544,POINT (-87.646621543699 41.848920893882),POINT (1171348.3842431789 1888284.964151909),2022,Summer,1.0,3,2,2.0,0.0,0.0
O1257768,DRIVER,aa37a1cec1cb6f646c65c98765742c771e0dc2191907d6dc5374ef745a39439733b0c7230a111c64eb0e85a8008447fcd15d9480002b77c74071af75d2a40e42,1193895.0,M,26.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-01-05 06:57:00,30,SNOW,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",01/05/2022 07:05:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6,4,1,41.96048278,-87.727667612,POINT (-87.727667611705 41.960482779981),POINT (1148979.8109567603 1928771.9564304869),2022,Winter,1.0,1,1,3.0,0.0,0.0
P286994,PASSENGER,625582d2a2b92b166d269dbbc7314dd1d884a98b6b2062c0d4689a9c0dfe7d987d1b2bc7a13c440c76c14447f70e1ddc5911e9a79df56b27600e811e1ec2db5d,1223502.0,M,3.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,,,,,,,,2022-02-25 22:02:00,35,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",02/25/2022 10:09:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,,2,NONINCAPACITATING INJURY,2.0,0.0,0.0,2.0,0.0,3.0,0.0,22,6,2,41.707182175,-87.620361492,POINT (-87.620361492183 41.707182175387),POINT (1178931.338336749 1836694.6877742351),2022,Winter,1.0,1,2,3.0,0.0,0.0
P290516,PASSENGER,18673fe9730900c9585485d71e82fed1178f02cb2a1423d5ab98dc1c8a45962fe7b29b5abb71f4171d84bc5ec800fd48a70a4bbfec6c2da003636cc037dcc0fa,1239666.0,M,24.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,,,,,,,,2022-03-25 16:30:00,30,CLEAR,DAYLIGHT,OTHER OBJECT,ONE-WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",03/25/2022 05:00:00 PM,NOT APPLICABLE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16,6,3,41.891694101,-87.620185069,POINT (-87.620185068696 41.891694101125),POINT (1178421.6946986434 1903930.1722380496),2022,Spring,1.0,2,2,2.0,0.0,0.0
O1426990,DRIVER,e3f5ceee6cf2c7c13d49c9ca9463d3717c89502f35bba56ec0b0904e3810db9a7e5008e41bee7a27b8394d86e9004ef8e9450e955d6308c95303ce04e26d6bed,1356118.0,M,26.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-09-24 21:15:00,25,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,PARKING LOT,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,N,"OVER $1,500",09/24/2022 11:10:00 PM,IMPROPER BACKING,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21,7,9,41.786235269,-87.697396207,POINT (-87.697396207242 41.786235269383),POINT (1157683.5351139812 1865336.1175660465),2022,Fall,1.0,4,1,3.0,0.0,0.0
O1340895,DRIVER,50691d64c48e392c77e5e623ca653cab21a629f966278a8da5d6843481d800366c45b5398a6049624f9b8d61fb7e0dfe101eb6bec7b51cb9a5f112f2b989f843,1273905.0,F,50.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,FAILED TO YIELD,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-05-19 17:30:00,30,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",05/19/2022 08:20:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17,5,5,41.950666668,-87.757185801,POINT (-87.757185800664 41.950666668321),POINT (1140975.4309106786 1925139.572980001),2022,Spring,0.0,2,1,2.0,0.0,0.0
O1409612,DRIVER,c00417f4b57b342e0b6e5e97ce4a4aa7bab3c7acd2554d01fae35fd827d3baf07d991c17053f3a134a9ba577332807499ffcfc037ba25610948fd9a146d4e7e1,1339519.0,F,31.0,DID NOT DEPLOY,NONE,NONINCAPACITATING INJURY,UNKNOWN,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-08-31 06:50:00,40,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",08/31/2022 07:10:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,2,NONINCAPACITATING INJURY,2.0,0.0,0.0,2.0,0.0,2.0,0.0,6,4,8,41.745928258,-87.58599491,POINT (-87.585994910205 41.745928258449),POINT (1188192.827492388 1850892.9416695922),2022,Summer,0.0,3,1,2.0,1.0,0.0
O1256489,DRIVER,64889b9ac27cccaca38b1dad51bd852abfdd8359fada446ee9c6e01bcdf1d4071a5bf6d7d2c0da2035c8c23f84c74dd97452b151b98069a8fe51172f7421de59,1192672.0,M,15.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,OTHER,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,,,2022-01-02 18:28:00,30,SNOW,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",01/02/2022 06:34:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,1,1,41.88580677,-87.748766067,POINT (-87.748766067273 41.885806769699),POINT (1143426.9044873267 1901520.0904755157),2022,Winter,1.0,1,1,2.0,0.0,0.0
P304892,PASSENGER,6c3f65326667880d41b3ee0d7e6967b45252675935ed4a73ad9a57144b86f290a6e4e80e5fa2919f6e12fa73151df470bd1ddecf8874d22de98e9a2c53fd7f2d,1302280.0,F,17.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,,,,,,,,2022-07-01 21:50:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",07/01/2022 10:05:00 PM,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21,6,7,41.946312131,-87.806894904,POINT (-87.80689490366 41.946312130737),POINT (1127463.1103132567 1923465.7914275164),2022,Summer,0.0,3,2,2.0,0.0,0.0
O1432649,DRIVER,bdf8b3bdcc64394fc0d6f2cbabc4683b80a16de439113a54293fd29d6b7317cfcdbf62db5993a16645b684f76a11ff77cbb77de27e04a6b0c959583d8bdeeb3a,1361540.0,M,19.0,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,FAILED TO YIELD,UNKNOWN,EMOTIONAL,,,,TEST NOT OFFERED,,,,2022-10-03 06:30:00,30,CLEAR,DAYLIGHT,REAR END,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",10/03/2022 06:41:00 AM,FOLLOWING TOO CLOSELY,PHYSICAL CONDITION OF DRIVER,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6,2,10,41.692472192,-87.623460709,POINT (-87.623460708519 41.692472192477),POINT (1178129.2533502313 1831327.555342085),2022,Fall,1.0,4,1,4.0,0.0,0.0
O1455691,DRIVER,2b18ba2c0307d9873922552c8d8fcfe3dc669369366426c0283143cb00ad41b01c2f06b46c48b2e57cd33b3fc174d7db48ba58a2a03d039198df48aa85e2aadd,1383492.0,M,21.0,"DEPLOYED, FRONT",NONE,NO INDICATION OF INJURY,OVERCORRECTED,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-11-05 02:31:00,30,RAIN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",11/05/2022 02:32:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,,6,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,7,11,41.916846636,-87.726693148,POINT (-87.726693147578 41.916846635914),POINT (1149357.372396289 1912872.727233046),2022,Fall,1.0,4,1,5.0,0.0,0.0
O1277223,DRIVER,1c3749a6c28a3684a7964883dca959bbac3cedf30a6f23cee4cfcb4f96a819a834bed9372ce4c4c09db2e7518b9bef162abf966d60ee2d73668103b3d8f40b07,1212619.0,M,70.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,,,2022-02-07 13:10:00,30,CLEAR,DAYLIGHT,TURNING,PARKING LOT,,STRAIGHT AND LEVEL,ICE,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,02/07/2022 01:16:00 PM,WEATHER,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,2,2,41.83887233,-87.646150966,POINT (-87.646150966469 41.838872330415),POINT (1171505.8945457065 1884624.3252544776),2022,Winter,1.0,1,1,3.0,0.0,0.0
